name;id;riasec
Vrtač;17;
Provozní těžař ropy a plynu;18;Prakticko-technický (R)
Řezník a uzenář;19;Prakticko-technický (R)
Mlékař;22;Prakticko-technický (R)
Mlynář;23;Prakticko-technický (R)
Pekař;24;Prakticko-technický (R)
Cukrář;25;Prakticko-technický (R)
Pivovarník a sladovník;26;Prakticko-technický (R)
Lihovarník a likérník;27;Prakticko-technický (R)
Vinař;28;Prakticko-technický (R)
Výrobce textilií;29;
Výrobce pokrývek hlavy;36;
Výrobce kožedělného zboží;39;
Čalouník a dekoratér;47;Prakticko-technický (R),Umělecko-jazykový (A)
Výrobce dřevěných předmětů;48;
Košíkář a pletař;49;Umělecko-jazykový (A)
Mechanik strunných hudebních nástrojů;50;Prakticko-technický (R)
Mechanik klávesových hudebních nástrojů;51;Prakticko-technický (R)
Mechanik dechových a bicích hudebních nástrojů;52;Prakticko-technický (R)
Mechanik akordeonů a foukacích harmonik;53;Prakticko-technický (R)
Tiskař;55;Prakticko-technický (R)
Koksař;64;Prakticko-technický (R)
Obsluha zařízení na výrobu skleněných vláken;76;Prakticko-technický (R)
Pasíř;80;Umělecko-jazykový (A)
Mechanik strojů a zařízení;108;
Mechanik opravář motorových vozidel;109;Prakticko-technický (R)
Mechanik motorových lokomotiv a motorových vozů;110;Prakticko-technický (R)
Montér elektronických komunikačních sítí;124;Prakticko-technický (R)
Obsluha plynárenských zařízení;132;Prakticko-technický (R)
Železobetonář;140;Prakticko-technický (R)
Strojník obsluhy stavebních strojů;141;Prakticko-technický (R)
Izolatér;142;Prakticko-technický (R)
Hrázný a jezný;148;Prakticko-technický (R)
Poříčný;149;Prakticko-technický (R)
Potápěč;151;Prakticko-technický (R)
Prodavač;159;
Manekýn;161;Umělecko-jazykový (A)
Číšník;162;Podnikatelský (E)
Kuchař;163;Prakticko-technický (R)
Řidič;164;
Strojvedoucí;168;Prakticko-technický (R)
Kadeřník;176;Prakticko-technický (R),Umělecko-jazykový (A)
Kosmetička, vizážistka;177;Prakticko-technický (R),Umělecko-jazykový (A)
Manikérka, pedikérka;178;Prakticko-technický (R),Umělecko-jazykový (A)
Pracovník lázní;179;Prakticko-technický (R)
Domovník;180;Prakticko-technický (R)
Kominík;182;Prakticko-technický (R)
Zlatník a klenotník;187;Umělecko-jazykový (A)
Hasič;193;
Školník;195;Prakticko-technický (R)
Kondiční masér;196;Sociální (S)
Pomocný pracovník v těžbě a úpravě surovin;201;
Pomocný a manipulační pracovník v textilní a oděvní výrobě;203;Prakticko-technický (R)
Pomocný pracovník v hutnictví a slévárenství;210;Prakticko-technický (R)
Pomocný pracovník ve strojírenství;211;Prakticko-technický (R)
Pomocný pracovník v obchodě;215;Prakticko-technický (R)
Pomocný pracovník v pohostinství;216;Prakticko-technický (R)
Pomocný pracovník elektronických komunikací;218;Prakticko-technický (R)
Pomocný pracovník ve službách;219;Prakticko-technický (R)
Mechanik zařízení elektronických komunikací;221;Prakticko-technický (R)
Výrobce v lidové umělecké výrobě;223;Umělecko-jazykový (A)
Umělecký kameník;224;Umělecko-jazykový (A)
Umělecký štukatér a kašér;225;Umělecko-jazykový (A)
Umělecký kovář a zámečník;226;Umělecko-jazykový (A)
Umělecký kovolijec a cizelér;227;Umělecko-jazykový (A)
Zlatotepec;228;Umělecko-jazykový (A)
Umělecký pozlacovač;229;Umělecko-jazykový (A)
Cínař;230;Umělecko-jazykový (A)
Umělecký sklář;231;Umělecko-jazykový (A)
Umělecký leptař skla;232;Umělecko-jazykový (A)
Umělecký mozaikář;234;Umělecko-jazykový (A)
Umělecký sklenář;235;Umělecko-jazykový (A)
Umělecký keramik;236;Umělecko-jazykový (A)
Umělecký truhlář;237;Umělecko-jazykový (A)
Umělecký řezbář;238;Umělecko-jazykový (A)
Umělecký malíř;239;Umělecko-jazykový (A)
Ruční vyšívačka;243;Umělecko-jazykový (A)
Hosteska;249;Administrativně-správní (C)
Pomocný bezpečnostní pracovník;251;Sociální (S)
Rekvizitář;252;Prakticko-technický (R)
Stavěč dekorací;259;Prakticko-technický (R)
Pomocný pracovník ve vodohospodářství;260;Prakticko-technický (R)
Pomocný pracovník ve vodárenství;261;Prakticko-technický (R)
Vydělávač kožešin;2012;Prakticko-technický (R)
Prýmkař;2038;Prakticko-technický (R)
Síťař;2039;Prakticko-technický (R)
Krajkář;2040;Umělecko-jazykový (A)
Provazník;2041;Prakticko-technický (R)
Pletař;2042;Prakticko-technický (R)
Elektromontér pevných trakčních zařízení železniční dopravy;2065;Prakticko-technický (R)
